"BAnTr","coding.noncoding"
"BAnTr.GP.3HG002218","coding"
"BAnTr.GP.3HG002220","coding"
"BAnTr.GP.3HG002222","noncoding"
"BAnTr.GP.3HG002224","coding"
"BAnTr.GP.3HG002226","coding"
"BAnTr.GP.3HG002228","coding"
"BAnTr.GP.3HG002230","noncoding"
"BAnTr.GP.3HG002232","noncoding"
"BAnTr.GP.3HG002234","coding"
"BAnTr.GP.3HG002236","coding"
"BAnTr.GP.3HG002238","coding"
"BAnTr.GP.3HG002240","coding"
"BAnTr.GP.3HG002242","coding"
"BAnTr.GP.3HG002244","coding"
"BAnTr.GP.3HG002246","coding"
"BAnTr.GP.3HG002248","coding"
"BAnTr.GP.3HG002250","coding"
"BAnTr.GP.3HG002252","coding"
"BAnTr.GP.3HG002254","coding"
"BAnTr.GP.3HG002256","undefined"
"BAnTr.GP.3HG002258","coding"
"BAnTr.GP.3HG002260","coding"
"BAnTr.GP.3HG002262","coding"
"BAnTr.GP.3HG002264","coding"
"BAnTr.GP.3HG002266","coding"
"BAnTr.GP.3HG002268","coding"
"BAnTr.GP.3HG002270","noncoding"
"BAnTr.GP.3HG002272","coding"
"BAnTr.GP.3HG002274","noncoding"
"BAnTr.GP.3HG002276","noncoding"
"BAnTr.GP.3HG002278","noncoding"
"BAnTr.GP.3HG002280","noncoding"
"BAnTr.GP.3HG002282","noncoding"
"BAnTr.GP.3HG002284","noncoding"
"BAnTr.GP.3HG002286","coding"
"BAnTr.GP.3HG002288","coding"
"BAnTr.GP.3HG002290","coding"
"BAnTr.GP.3HG002292","noncoding"
"BAnTr.GP.3HG002294","noncoding"
"BAnTr.GP.3HG002296","noncoding"
"BAnTr.GP.3HG002298","coding"
"BAnTr.GP.3HG002300","coding"
"BAnTr.GP.3HG002302","noncoding"
"BAnTr.GP.3HG002304","coding"
"BAnTr.GP.3HG002306","coding"
"BAnTr.GP.3HG002308","coding"
"BAnTr.GP.3HG002310","noncoding"
"BAnTr.GP.3HG002312","coding"
"BAnTr.GP.3HG002314","coding"
"BAnTr.GP.3HG002316","coding"
"BAnTr.GP.3HG002318","noncoding"
"BAnTr.GP.3HG002320","undefined"
"BAnTr.GP.3HG002322","noncoding"
"BAnTr.GP.3HG002324","noncoding"
"BAnTr.GP.3HG002326","noncoding"
"BAnTr.GP.3HG002328","noncoding"
"BAnTr.GP.3HG002330","noncoding"
"BAnTr.GP.3HG002332","coding"
"BAnTr.GP.3HG002334","noncoding"
"BAnTr.GP.3HG002336","coding"
"BAnTr.GP.3HG002338","noncoding"
"BAnTr.GP.3HG002340","noncoding"
"BAnTr.GP.3HG002342","coding"
"BAnTr.GP.3HG002344","coding"
"BAnTr.GP.3HG002346","coding"
"BAnTr.GP.3HG002348","coding"
"BAnTr.GP.3HG002350","coding"
"BAnTr.GP.3HG002352","coding"
"BAnTr.GP.3HG002354","noncoding"
"BAnTr.GP.3HG002356","coding"
"BAnTr.GP.3HG002358","coding"
"BAnTr.GP.3HG002360","coding"
"BAnTr.GP.3HG002362","undefined"
"BAnTr.GP.3HG002364","coding"
"BAnTr.GP.3HG002366","coding"
"BAnTr.GP.3HG002368","coding"
"BAnTr.GP.3HG002370","coding"
"BAnTr.GP.3HG002372","coding"
"BAnTr.GP.3HG002374","coding"
"BAnTr.GP.3HG002376","coding"
"BAnTr.GP.3HG002378","coding"
"BAnTr.GP.3HG002380","coding"
"BAnTr.GP.3HG002382","undefined"
"BAnTr.GP.3HG002384","coding"
"BAnTr.GP.3HG002386","noncoding"
"BAnTr.GP.3HG002388","noncoding"
"BAnTr.GP.3HG002390","noncoding"
"BAnTr.GP.3HG002392","coding"
"BAnTr.GP.3HG002394","coding"
"BAnTr.GP.3HG002396","undefined"
"BAnTr.GP.3HG002398","noncoding"
"BAnTr.GP.3HG002400","coding"
"BAnTr.GP.3HG002402","coding"
"BAnTr.GP.3HG002404","coding"
"BAnTr.GP.3HG002406","coding"
"BAnTr.GP.3HG002408","noncoding"
"BAnTr.GP.3HG002410","coding"
"BAnTr.GP.3HG002412","coding"
"BAnTr.GP.3HG002414","coding"
"BAnTr.GP.3HG002416","coding"
"BAnTr.GP.3HG002418","coding"
"BAnTr.GP.3HG002420","coding"
"BAnTr.GP.3HG002422","coding"
"BAnTr.GP.3HG002424","coding"
"BAnTr.GP.3HG002426","coding"
"BAnTr.GP.3HG002428","coding"
"BAnTr.GP.3HG002430","coding"
"BAnTr.GP.3HG002432","noncoding"
"BAnTr.GP.3HG002434","noncoding"
"BAnTr.GP.3HG002436","coding"
"BAnTr.GP.3HG002438","coding"
"BAnTr.GP.3HG002440","noncoding"
"BAnTr.GP.3HG002442","coding"
"BAnTr.GP.3HG002444","coding"
"BAnTr.GP.3HG002446","coding"
"BAnTr.GP.3HG002448","coding"
"BAnTr.GP.3HG002450","coding"
"BAnTr.GP.3HG002452","coding"
"BAnTr.GP.3HG002454","noncoding"
"BAnTr.GP.3HG002456","noncoding"
"BAnTr.GP.3HG002458","coding"
"BAnTr.GP.3HG002460","coding"
"BAnTr.GP.3HG002462","noncoding"
"BAnTr.GP.3HG002464","coding"
"BAnTr.GP.3HG002466","coding"
"BAnTr.GP.3HG002468","coding"
"BAnTr.GP.3HG002470","coding"
"BAnTr.GP.3HG002472","coding"
"BAnTr.GP.3HG002474","noncoding"
"BAnTr.GP.3HG002476","noncoding"
"BAnTr.GP.3HG002478","noncoding"
"BAnTr.GP.3HG002480","noncoding"
"BAnTr.GP.3HG002482","coding"
"BAnTr.GP.3HG002484","coding"
"BAnTr.GP.3HG002486","coding"
"BAnTr.GP.3HG002488","coding"
"BAnTr.GP.3HG002490","coding"
"BAnTr.GP.3HG002492","coding"
"BAnTr.GP.3HG002494","coding"
"BAnTr.GP.3HG002496","noncoding"
"BAnTr.GP.3HG002498","coding"
"BAnTr.GP.3HG002500","noncoding"
"BAnTr.GP.3HG002502","noncoding"
"BAnTr.GP.3HG002504","noncoding"
"BAnTr.GP.3HG002506","noncoding"
"BAnTr.GP.3HG002508","coding"
"BAnTr.GP.3HG002510","undefined"
"BAnTr.GP.3HG002512","noncoding"
"BAnTr.GP.3HG002514","coding"
"BAnTr.GP.3HG002516","coding"
"BAnTr.GP.3HG002518","coding"
"BAnTr.GP.3HG002520","coding"
"BAnTr.GP.3HG002522","coding"
"BAnTr.GP.3HG002524","noncoding"
"BAnTr.GP.3HG002526","coding"
"BAnTr.GP.3HG002528","undefined"
"BAnTr.GP.3HG002530","coding"
"BAnTr.GP.3HG002532","coding"
"BAnTr.GP.3HG002534","noncoding"
"BAnTr.GP.3HG002536","noncoding"
"BAnTr.GP.3HG002538","coding"
"BAnTr.GP.3HG002540","noncoding"
"BAnTr.GP.3HG002542","noncoding"
"BAnTr.GP.3HG002544","noncoding"
"BAnTr.GP.3HG002546","noncoding"
"BAnTr.GP.3HG002548","noncoding"
"BAnTr.GP.3HG002550","noncoding"
"BAnTr.GP.3HG002552","noncoding"
"BAnTr.GP.3HG002554","noncoding"
"BAnTr.GP.3HG002556","noncoding"
"BAnTr.GP.3HG002558","noncoding"
"BAnTr.GP.3HG002560","noncoding"
"BAnTr.GP.3HG002562","noncoding"
"BAnTr.GP.3HG002564","coding"
"BAnTr.GP.3HG002566","noncoding"
"BAnTr.GP.3HG002568","coding"
"BAnTr.GP.3HG002570","coding"
"BAnTr.GP.3HG002572","noncoding"
"BAnTr.GP.3HG002574","coding"
"BAnTr.GP.3HG002576","coding"
"BAnTr.GP.3HG002578","coding"
"BAnTr.GP.3HG002580","noncoding"
"BAnTr.GP.3HG002582","coding"
"BAnTr.GP.3HG002584","coding"
"BAnTr.GP.3HG002586","noncoding"
"BAnTr.GP.3HG002588","noncoding"
"BAnTr.GP.3HG002590","coding"
"BAnTr.GP.3HG002592","coding"
"BAnTr.GP.3HG002594","noncoding"
"BAnTr.GP.3HG002596","noncoding"
"BAnTr.GP.3HG002598","coding"
"BAnTr.GP.3HG002600","coding"
"BAnTr.GP.3HG002602","coding"
"BAnTr.GP.3HG002604","noncoding"
"BAnTr.GP.3HG002606","coding"
"BAnTr.GP.3HG002608","coding"
"BAnTr.GP.3HG002610","coding"
"BAnTr.GP.3HG002612","coding"
"BAnTr.GP.3HG002614","coding"
"BAnTr.GP.3HG002616","coding"
"BAnTr.GP.3HG002618","coding"
"BAnTr.GP.3HG002620","undefined"
"BAnTr.GP.3HG002622","coding"
"BAnTr.GP.3HG002624","noncoding"
"BAnTr.GP.3HG002626","coding"
"BAnTr.GP.3HG002628","noncoding"
"BAnTr.GP.3HG002630","noncoding"
"BAnTr.GP.3HG002632","coding"
"BAnTr.GP.3HG002634","noncoding"
"BAnTr.GP.3HG002636","noncoding"
"BAnTr.GP.3HG002638","coding"
"BAnTr.GP.3HG002640","noncoding"
"BAnTr.GP.3HG002642","coding"
"BAnTr.GP.3HG002644","noncoding"
"BAnTr.GP.3HG002646","noncoding"
"BAnTr.GP.3HG002648","coding"
"BAnTr.GP.3HG002650","noncoding"
"BAnTr.GP.3HG002652","noncoding"
"BAnTr.GP.3HG002654","noncoding"
"BAnTr.GP.3HG002656","coding"
"BAnTr.GP.3HG002658","coding"
"BAnTr.GP.3HG002660","coding"
"BAnTr.GP.3HG002662","coding"
"BAnTr.GP.3HG002664","coding"
"BAnTr.GP.3HG002666","noncoding"
"BAnTr.GP.3HG002668","noncoding"
"BAnTr.GP.3HG002670","coding"
"BAnTr.GP.3HG002672","coding"
"BAnTr.GP.3HG002674","coding"
"BAnTr.GP.3HG002676","noncoding"
"BAnTr.GP.3HG002678","noncoding"
"BAnTr.GP.3HG002680","coding"
"BAnTr.GP.3HG002682","coding"
"BAnTr.GP.3HG002684","coding"
"BAnTr.GP.3HG002686","coding"
"BAnTr.GP.3HG002688","coding"
"BAnTr.GP.3HG002690","coding"
"BAnTr.GP.3HG002692","coding"
"BAnTr.GP.3HG002694","undefined"
"BAnTr.GP.3HG002696","coding"
"BAnTr.GP.3HG002698","coding"
"BAnTr.GP.3HG002700","coding"
"BAnTr.GP.3HG002702","coding"
"BAnTr.GP.3HG002704","coding"
"BAnTr.GP.3HG002706","coding"
"BAnTr.GP.3HG002708","noncoding"
"BAnTr.GP.3HG002710","undefined"
"BAnTr.GP.3HG002712","noncoding"
"BAnTr.GP.3HG002714","coding"
"BAnTr.GP.3HG002716","coding"
"BAnTr.GP.3HG002718","coding"
"BAnTr.GP.3HG002720","coding"
"BAnTr.GP.3HG002722","noncoding"
"BAnTr.GP.3HG002724","undefined"
"BAnTr.GP.3HG002726","coding"
"BAnTr.GP.3HG002728","noncoding"
"BAnTr.GP.3HG002730","coding"
"BAnTr.GP.3HG002732","coding"
"BAnTr.GP.3HG002734","coding"
"BAnTr.GP.3HG002736","coding"
"BAnTr.GP.3HG002738","noncoding"
"BAnTr.GP.3HG002740","noncoding"
"BAnTr.GP.3HG002742","coding"
"BAnTr.GP.3HG002744","coding"
"BAnTr.GP.3HG002746","coding"
"BAnTr.GP.3HG002748","coding"
"BAnTr.GP.3HG002750","noncoding"
"BAnTr.GP.3HG002752","coding"
"BAnTr.GP.3HG002754","coding"
"BAnTr.GP.3HG002756","noncoding"
"BAnTr.GP.3HG002758","coding"
"BAnTr.GP.3HG002760","coding"
"BAnTr.GP.3HG002762","coding"
"BAnTr.GP.3HG002764","noncoding"
"BAnTr.GP.3HG002766","coding"
"BAnTr.GP.3HG002768","coding"
"BAnTr.GP.3HG002770","noncoding"
"BAnTr.GP.3HG002772","coding"
"BAnTr.GP.3HG002774","coding"
"BAnTr.GP.3HG002776","coding"
"BAnTr.GP.3HG002778","noncoding"
"BAnTr.GP.3HG002780","coding"
"BAnTr.GP.3HG002782","coding"
"BAnTr.GP.3HG002784","coding"
"BAnTr.GP.3HG002786","noncoding"
"BAnTr.GP.3HG002788","noncoding"
"BAnTr.GP.3HG002790","noncoding"
"BAnTr.GP.3HG002792","undefined"
"BAnTr.GP.3HG002794","noncoding"
"BAnTr.GP.3HG002796","noncoding"
"BAnTr.GP.3HG002798","noncoding"
"BAnTr.GP.3HG002800","coding"
"BAnTr.GP.3HG002802","coding"
"BAnTr.GP.3HG002804","coding"
"BAnTr.GP.3HG002806","noncoding"
"BAnTr.GP.3HG002808","coding"
"BAnTr.GP.3HG002810","coding"
"BAnTr.GP.3HG002812","coding"
"BAnTr.GP.3HG002814","coding"
"BAnTr.GP.3HG002816","coding"
"BAnTr.GP.3HG002818","undefined"
"BAnTr.GP.3HG002820","noncoding"
"BAnTr.GP.3HG002822","coding"
"BAnTr.GP.3HG002824","noncoding"
"BAnTr.GP.3HG002826","coding"
"BAnTr.GP.3HG002828","coding"
"BAnTr.GP.3HG002830","coding"
"BAnTr.GP.3HG002832","coding"
"BAnTr.GP.3HG002834","coding"
"BAnTr.GP.3HG002836","coding"
"BAnTr.GP.3HG002838","coding"
"BAnTr.GP.3HG002840","coding"
"BAnTr.GP.3HG002842","coding"
"BAnTr.GP.3HG002844","coding"
"BAnTr.GP.3HG002846","coding"
"BAnTr.GP.3HG002848","coding"
"BAnTr.GP.3HG002850","coding"
"BAnTr.GP.3HG002852","noncoding"
"BAnTr.GP.3HG002854","noncoding"
"BAnTr.GP.3HG002856","coding"
"BAnTr.GP.3HG002858","coding"
"BAnTr.GP.3HG002860","coding"
"BAnTr.GP.3HG002862","coding"
"BAnTr.GP.3HG002864","coding"
"BAnTr.GP.3HG002866","coding"
"BAnTr.GP.3HG002868","coding"
"BAnTr.GP.3HG002870","coding"
"BAnTr.GP.3HG002872","noncoding"
"BAnTr.GP.3HG002874","noncoding"
"BAnTr.GP.3HG002876","coding"
"BAnTr.GP.3HG002878","coding"
"BAnTr.GP.3HG002880","coding"
"BAnTr.GP.3HG002882","coding"
"BAnTr.GP.3HG002884","noncoding"
"BAnTr.GP.3HG002886","coding"
"BAnTr.GP.3HG002888","coding"
"BAnTr.GP.3HG002890","coding"
"BAnTr.GP.3HG002892","coding"
"BAnTr.GP.3HG002894","coding"
"BAnTr.GP.3HG002896","coding"
"BAnTr.GP.3HG002898","noncoding"
"BAnTr.GP.3HG002900","noncoding"
"BAnTr.GP.3HG002902","noncoding"
"BAnTr.GP.3HG002904","noncoding"
"BAnTr.GP.3HG002906","noncoding"
"BAnTr.GP.3HG002908","noncoding"
"BAnTr.GP.3HG002910","noncoding"
"BAnTr.GP.3HG002912","coding"
"BAnTr.GP.3HG002914","noncoding"
"BAnTr.GP.3HG002916","coding"
"BAnTr.GP.3HG002918","coding"
"BAnTr.GP.3HG002920","coding"
"BAnTr.GP.3HG002922","noncoding"
"BAnTr.GP.3HG002924","noncoding"
"BAnTr.GP.3HG002926","coding"
"BAnTr.GP.3HG002928","coding"
"BAnTr.GP.3HG002930","noncoding"
"BAnTr.GP.3HG002932","coding"
"BAnTr.GP.3HG002934","noncoding"
"BAnTr.GP.3HG002936","coding"
"BAnTr.GP.3HG002938","coding"
"BAnTr.GP.3HG002940","coding"
"BAnTr.GP.3HG002942","undefined"
"BAnTr.GP.3HG002944","coding"
"BAnTr.GP.3HG002946","undefined"
"BAnTr.GP.3HG002948","noncoding"
"BAnTr.GP.3HG002950","noncoding"
"BAnTr.GP.3HG002952","coding"
"BAnTr.GP.3HG002954","coding"
"BAnTr.GP.3HG002956","coding"
"BAnTr.GP.3HG002958","coding"
"BAnTr.GP.3HG002960","coding"
"BAnTr.GP.3HG002962","coding"
"BAnTr.GP.3HG002964","coding"
"BAnTr.GP.3HG002966","coding"
"BAnTr.GP.3HG002968","coding"
"BAnTr.GP.3HG002970","coding"
"BAnTr.GP.3HG002972","coding"
"BAnTr.GP.3HG002974","coding"
"BAnTr.GP.3HG002976","noncoding"
"BAnTr.GP.3HG002978","coding"
"BAnTr.GP.3HG002980","coding"
"BAnTr.GP.3HG002982","noncoding"
"BAnTr.GP.3HG002984","coding"
"BAnTr.GP.3HG002986","noncoding"
"BAnTr.GP.3HG002988","coding"
"BAnTr.GP.3HG002990","coding"
"BAnTr.GP.3HG002992","noncoding"
"BAnTr.GP.3HG002994","noncoding"
"BAnTr.GP.3HG002996","coding"
"BAnTr.GP.3HG002998","noncoding"
"BAnTr.GP.3HG003000","coding"
"BAnTr.GP.3HG003002","coding"
"BAnTr.GP.3HG003004","coding"
"BAnTr.GP.3HG003006","coding"
"BAnTr.GP.3HG003008","noncoding"
"BAnTr.GP.3HG003010","undefined"
"BAnTr.GP.3HG003012","coding"
"BAnTr.GP.3HG003014","coding"
"BAnTr.GP.3HG003016","coding"
"BAnTr.GP.3HG003018","coding"
"BAnTr.GP.3HG003020","coding"
"BAnTr.GP.3HG003022","undefined"
"BAnTr.GP.3HG003024","noncoding"
"BAnTr.GP.3HG003026","coding"
"BAnTr.GP.3HG003028","noncoding"
"BAnTr.GP.3HG003030","undefined"
"BAnTr.GP.3HG003032","coding"
"BAnTr.GP.3HG003034","undefined"
"BAnTr.GP.3HG003036","coding"
"BAnTr.GP.3HG003038","noncoding"
"BAnTr.GP.3HG003040","noncoding"
"BAnTr.GP.3HG003042","coding"
"BAnTr.GP.3HG003044","noncoding"
"BAnTr.GP.3HG003046","coding"
"BAnTr.GP.3HG003048","noncoding"
"BAnTr.GP.3HG003050","noncoding"
"BAnTr.GP.3HG003052","coding"
"BAnTr.GP.3HG003054","noncoding"
"BAnTr.GP.3HG003056","coding"
"BAnTr.GP.3HG003058","coding"
"BAnTr.GP.3HG003060","coding"
"BAnTr.GP.3HG003062","coding"
"BAnTr.GP.3HG003064","noncoding"
"BAnTr.GP.3HG003066","coding"
"BAnTr.GP.3HG003068","coding"
"BAnTr.GP.3HG003070","noncoding"
"BAnTr.GP.3HG003072","coding"
"BAnTr.GP.3HG003074","noncoding"
"BAnTr.GP.3HG003076","noncoding"
"BAnTr.GP.3HG003078","noncoding"
"BAnTr.GP.3HG003080","noncoding"
"BAnTr.GP.3HG003082","coding"
"BAnTr.GP.3HG003084","coding"
"BAnTr.GP.3HG003086","noncoding"
"BAnTr.GP.3HG003088","coding"
"BAnTr.GP.3HG003090","noncoding"
"BAnTr.GP.3HG003092","noncoding"
"BAnTr.GP.3HG003094","coding"
"BAnTr.GP.3HG003096","noncoding"
"BAnTr.GP.3HG003098","noncoding"
"BAnTr.GP.3HG003100","coding"
"BAnTr.GP.3HG003102","undefined"
"BAnTr.GP.3HG003104","coding"
"BAnTr.GP.3HG003106","coding"
"BAnTr.GP.3HG003108","coding"
"BAnTr.GP.3HG003110","noncoding"
"BAnTr.GP.3HG003112","coding"
"BAnTr.GP.3HG003114","coding"
"BAnTr.GP.3HG003116","coding"
"BAnTr.GP.3HG003118","noncoding"
"BAnTr.GP.3HG003120","noncoding"
"BAnTr.GP.3HG003122","coding"
"BAnTr.GP.3HG003124","coding"
"BAnTr.GP.3HG003126","coding"
"BAnTr.GP.3HG003128","coding"
"BAnTr.GP.3HG003130","coding"
"BAnTr.GP.3HG003132","coding"
"BAnTr.GP.3HG003134","coding"
"BAnTr.GP.3HG003136","coding"
"BAnTr.GP.3HG003138","noncoding"
"BAnTr.GP.3HG003140","noncoding"
"BAnTr.GP.3HG003142","coding"
"BAnTr.GP.3HG003144","coding"
"BAnTr.GP.3HG003146","coding"
"BAnTr.GP.3HG003148","coding"
"BAnTr.GP.3HG003150","coding"
"BAnTr.GP.3HG003152","undefined"
"BAnTr.GP.3HG003154","undefined"
"BAnTr.GP.3HG003156","coding"
"BAnTr.GP.3HG003158","coding"
"BAnTr.GP.3HG003160","coding"
"BAnTr.GP.3HG003162","coding"
"BAnTr.GP.3HG003164","noncoding"
"BAnTr.GP.3HG003166","noncoding"
"BAnTr.GP.3HG003168","noncoding"
"BAnTr.GP.3HG003170","coding"
"BAnTr.GP.3HG003172","coding"
"BAnTr.GP.3HG003174","coding"
"BAnTr.GP.3HG003176","noncoding"
"BAnTr.GP.3HG003178","noncoding"
"BAnTr.GP.3HG003180","coding"
"BAnTr.GP.3HG003182","coding"
"BAnTr.GP.3HG003184","coding"
"BAnTr.GP.3HG003186","coding"
"BAnTr.GP.3HG003188","noncoding"
"BAnTr.GP.3HG003190","coding"
"BAnTr.GP.3HG003192","noncoding"
"BAnTr.GP.3HG003194","noncoding"
"BAnTr.GP.3HG003196","noncoding"
"BAnTr.GP.3HG003198","noncoding"
"BAnTr.GP.3HG003200","coding"
"BAnTr.GP.3HG003202","noncoding"
"BAnTr.GP.3HG003204","noncoding"
"BAnTr.GP.3HG003206","coding"
"BAnTr.GP.3HG003208","noncoding"
"BAnTr.GP.3HG003210","noncoding"
"BAnTr.GP.3HG003212","coding"
"BAnTr.GP.3HG003214","coding"
"BAnTr.GP.3HG003216","coding"
"BAnTr.GP.3HG003218","coding"
"BAnTr.GP.3HG003220","coding"
"BAnTr.GP.3HG003222","undefined"
"BAnTr.GP.3HG003224","coding"
"BAnTr.GP.3HG003226","coding"
"BAnTr.GP.3HG003228","coding"
"BAnTr.GP.3HG003230","coding"
"BAnTr.GP.3HG003232","coding"
"BAnTr.GP.3HG003234","noncoding"
"BAnTr.GP.3HG003236","coding"
"BAnTr.GP.3HG003238","noncoding"
"BAnTr.GP.3HG003240","noncoding"
"BAnTr.GP.3HG003242","coding"
"BAnTr.GP.3HG003244","coding"
"BAnTr.GP.3HG003246","noncoding"
"BAnTr.GP.3HG003248","noncoding"
"BAnTr.GP.3HG003250","coding"
"BAnTr.GP.3HG003252","noncoding"
"BAnTr.GP.3HG003254","coding"
"BAnTr.GP.3HG003256","coding"
"BAnTr.GP.3HG003258","coding"
"BAnTr.GP.3HG003260","coding"
"BAnTr.GP.3HG003262","coding"
"BAnTr.GP.3HG003264","coding"
"BAnTr.GP.3HG003266","noncoding"
"BAnTr.GP.3HG003268","coding"
"BAnTr.GP.3HG003270","coding"
"BAnTr.GP.3HG003272","undefined"
"BAnTr.GP.3HG003274","coding"
"BAnTr.GP.3HG003276","noncoding"
"BAnTr.GP.3HG003278","coding"
"BAnTr.GP.3HG003280","coding"
"BAnTr.GP.3HG003282","undefined"
"BAnTr.GP.3HG003284","noncoding"
"BAnTr.GP.3HG003286","coding"
"BAnTr.GP.3HG003288","coding"
"BAnTr.GP.3HG003290","coding"
"BAnTr.GP.3HG003292","coding"
"BAnTr.GP.3HG003294","undefined"
"BAnTr.GP.3HG003296","coding"
"BAnTr.GP.3HG003298","coding"
"BAnTr.GP.3HG003300","coding"
"BAnTr.GP.3HG003302","noncoding"
"BAnTr.GP.3HG003304","coding"
"BAnTr.GP.3HG003306","coding"
"BAnTr.GP.3HG003308","coding"
"BAnTr.GP.3HG003310","coding"
"BAnTr.GP.3HG003312","noncoding"
"BAnTr.GP.3HG003314","coding"
"BAnTr.GP.3HG003316","coding"
"BAnTr.GP.3HG003318","noncoding"
"BAnTr.GP.3HG003320","noncoding"
"BAnTr.GP.3HG003322","coding"
"BAnTr.GP.3HG003324","noncoding"
"BAnTr.GP.3HG003326","coding"
"BAnTr.GP.3HG003328","coding"
"BAnTr.GP.3HG003330","noncoding"
"BAnTr.GP.3HG003332","coding"
"BAnTr.GP.3HG003334","coding"
"BAnTr.GP.3HG003336","coding"
"BAnTr.GP.3HG003338","coding"
"BAnTr.GP.3HG003340","coding"
"BAnTr.GP.3HG003342","coding"
"BAnTr.GP.3HG003344","coding"
"BAnTr.GP.3HG003346","noncoding"
"BAnTr.GP.3HG003348","coding"
"BAnTr.GP.3HG003350","coding"
"BAnTr.GP.3HG003352","noncoding"
"BAnTr.GP.3HG003354","coding"
"BAnTr.GP.3HG003356","coding"
"BAnTr.GP.3HG003358","noncoding"
"BAnTr.GP.3HG003360","noncoding"
"BAnTr.GP.3HG003362","coding"
"BAnTr.GP.3HG003364","noncoding"
"BAnTr.GP.3HG003366","noncoding"
"BAnTr.GP.3HG003368","coding"
"BAnTr.GP.3HG003370","undefined"
"BAnTr.GP.3HG003372","coding"
"BAnTr.GP.3HG003374","coding"
"BAnTr.GP.3HG003376","coding"
"BAnTr.GP.3HG003378","coding"
"BAnTr.GP.3HG003380","coding"
"BAnTr.GP.3HG003382","coding"
"BAnTr.GP.3HG003384","coding"
"BAnTr.GP.3HG003386","noncoding"
"BAnTr.GP.3HG003388","coding"
"BAnTr.GP.3HG003390","coding"
"BAnTr.GP.3HG003392","undefined"
"BAnTr.GP.3HG003394","noncoding"
"BAnTr.GP.3HG003396","coding"
"BAnTr.GP.3HG003398","coding"
"BAnTr.GP.3HG003400","coding"
"BAnTr.GP.3HG003402","coding"
"BAnTr.GP.3HG003404","coding"
"BAnTr.GP.3HG003406","coding"
"BAnTr.GP.3HG003408","coding"
"BAnTr.GP.3HG003410","coding"
"BAnTr.GP.3HG003412","coding"
"BAnTr.GP.3HG003414","coding"
"BAnTr.GP.3HG003416","coding"
"BAnTr.GP.3HG003418","noncoding"
"BAnTr.GP.3HG003420","coding"
"BAnTr.GP.3HG003422","noncoding"
"BAnTr.GP.3HG003424","undefined"
"BAnTr.GP.3HG003426","coding"
"BAnTr.GP.3HG003428","coding"
"BAnTr.GP.3HG003430","noncoding"
"BAnTr.GP.3HG003432","noncoding"
"BAnTr.GP.3HG003434","coding"
"BAnTr.GP.3HG003436","coding"
"BAnTr.GP.3HG003438","noncoding"
"BAnTr.GP.3HG003440","noncoding"
"BAnTr.GP.3HG003442","coding"
"BAnTr.GP.3HG003444","coding"
"BAnTr.GP.3HG003446","coding"
"BAnTr.GP.3HG003448","coding"
"BAnTr.GP.3HG003450","coding"
"BAnTr.GP.3HG003452","coding"
"BAnTr.GP.3HG003454","noncoding"
"BAnTr.GP.3HG003456","noncoding"
"BAnTr.GP.3HG003458","coding"
"BAnTr.GP.3HG003460","noncoding"
"BAnTr.GP.3HG003462","coding"
"BAnTr.GP.3HG003464","noncoding"
"BAnTr.GP.3HG003466","coding"
"BAnTr.GP.3HG003468","coding"
"BAnTr.GP.3HG003470","coding"
"BAnTr.GP.3HG003472","noncoding"
"BAnTr.GP.3HG003474","coding"
"BAnTr.GP.3HG003476","coding"
"BAnTr.GP.3HG003478","coding"
"BAnTr.GP.3HG003480","noncoding"
"BAnTr.GP.3HG003482","coding"
"BAnTr.GP.3HG003484","coding"
"BAnTr.GP.3HG003486","coding"
"BAnTr.GP.3HG003488","noncoding"
"BAnTr.GP.3HG003490","noncoding"
"BAnTr.GP.3HG003492","coding"
"BAnTr.GP.3HG003494","noncoding"
"BAnTr.GP.3HG003496","coding"
"BAnTr.GP.3HG003498","coding"
"BAnTr.GP.3HG003500","noncoding"
"BAnTr.GP.3HG003502","coding"
"BAnTr.GP.3HG003504","noncoding"
"BAnTr.GP.3HG003506","coding"
"BAnTr.GP.3HG003508","noncoding"
"BAnTr.GP.3HG003510","noncoding"
"BAnTr.GP.3HG003512","noncoding"
"BAnTr.GP.3HG003514","noncoding"
"BAnTr.GP.3HG003516","coding"
"BAnTr.GP.3HG003518","coding"
"BAnTr.GP.3HG003520","coding"
"BAnTr.GP.3HG003522","undefined"
"BAnTr.GP.3HG003524","undefined"
"BAnTr.GP.3HG003526","coding"
"BAnTr.GP.3HG003528","coding"
"BAnTr.GP.3HG003530","coding"
"BAnTr.GP.3HG003532","noncoding"
"BAnTr.GP.3HG003534","coding"
"BAnTr.GP.3HG003536","coding"
"BAnTr.GP.3HG003538","coding"
"BAnTr.GP.3HG003540","noncoding"
"BAnTr.GP.3HG003542","coding"
"BAnTr.GP.3HG003544","noncoding"
"BAnTr.GP.3HG003546","noncoding"
"BAnTr.GP.3HG003548","coding"
"BAnTr.GP.3HG003550","coding"
"BAnTr.GP.3HG003552","coding"
"BAnTr.GP.3HG003554","noncoding"
"BAnTr.GP.3HG003556","noncoding"
"BAnTr.GP.3HG003558","coding"
"BAnTr.GP.3HG003560","noncoding"
"BAnTr.GP.3HG003562","coding"
"BAnTr.GP.3HG003564","coding"
"BAnTr.GP.3HG003566","coding"
